,sBondCount,dBondCount,tBondCount,Energy
507,15,0,0,-98.78722999999876
508,25,0,0,-106.23659999999904
509,12,0,0,-166.75095999999849
510,6,1,0,-40.179740000000145
511,14,1,0,-68.1570200000001
512,14,0,0,-95.34609999999884
513,32,1,0,-146.08165999999756
514,22,2,0,-205.3742500000003
515,7,2,0,-40.028389999999945
516,12,0,0,-114.09193000000096
517,11,0,0,-112.55708999999979
518,17,0,0,-139.01396999999906
519,11,0,0,-113.98469999999908
520,11,0,0,-113.20186999999943
521,12,0,0,-118.6646699999992
522,11,0,0,-113.9434999999994
523,31,1,0,-177.11120999999775
524,23,2,0,-117.53305999999884
525,27,2,0,-119.76196999999867
526,18,2,0,-163.87840000000006
527,15,1,0,-137.58502999999882
528,25,1,0,-153.12419999999884
529,27,1,0,-153.11431999999874
530,22,2,0,-146.14206999999848
531,25,1,0,-104.57897999999932
532,22,2,0,-100.42261999999936
533,14,0,0,-94.06730999999901
534,5,1,0,-28.183369999999968
535,6,0,2,-83.1480200000001
536,23,1,0,-180.2250599999993
537,19,1,0,-127.29662999999891
538,8,2,0,-49.95338000000004
539,17,0,0,-138.3419099999992
540,14,1,0,-132.8913099999991
541,17,0,0,-137.56996999999907
542,54,3,0,-250.99964999999747
543,56,4,0,-268.75790000001143
544,32,3,0,-194.48247000000043
545,29,2,0,-139.0084799999986
546,10,0,0,-39.257109999999564
547,34,2,0,-199.1337899999985
548,12,1,0,-95.17661999999972
549,24,1,0,-180.6116200000001
550,30,1,0,-124.38537999999971
551,123,2,0,-541.2104699999618
552,124,2,0,-547.2711899999595
553,21,2,0,-106.10246999999892
554,22,0,0,-95.18865999999866
555,25,2,0,-111.70940999999948
556,25,2,0,-112.17773999999918
557,30,1,0,-123.9940399999996
558,29,1,0,-133.2465799999975
559,7,0,0,-30.23070000000001
560,30,0,0,-126.89349999999786
561,15,1,0,-137.20919999999887
562,17,2,0,-162.8367900000039
563,7,0,0,-30.020849999999882
564,22,2,0,-99.6919199999993
565,18,1,0,-148.9892700000005
566,18,0,0,-71.91442999999936
567,13,1,0,-132.95917999999986
568,24,2,0,-154.1295199999995
569,32,1,0,-146.05097999999768
570,34,2,0,-227.62193000000067
571,29,0,0,-190.59985999999802
572,25,2,0,-200.08939000000052
573,50,2,0,-225.9273899999976
574,15,1,0,-108.50074999999924
575,7,1,0,-69.88212000000021
576,12,0,0,-118.03773
577,29,2,0,-138.10495999999875
